actualClass	estimatedClass	siftMean	siftStd	siftMinus1StdVal	siftPlus1StdVal	intensityMean	intensityStd	intensityMinus1StdVal	intensityPlus1StdVal
1	1	0.5000	0.1323	0.3677	0.6323	0.1167	0.0764	0.0403	0.1930
1	2	0.0333	0.0289	0.0045	0.0622	0.1167	0.0289	0.0878	0.1455
1	3	0.0000	0.0000	0.0000	0.0000	0.0333	0.0289	0.0045	0.0622
1	4	0.0500	0.0500	0.0000	0.1000	0.1167	0.0289	0.0878	0.1455
1	5	0.0667	0.0289	0.0378	0.0955	0.1500	0.0500	0.1000	0.2000
1	6	0.0167	0.0289	-0.0122	0.0455	0.1667	0.0289	0.1378	0.1955
1	7	0.0667	0.0577	0.0089	0.1244	0.0167	0.0289	-0.0122	0.0455
1	8	0.2667	0.0289	0.2378	0.2955	0.2833	0.0764	0.2070	0.3597
2	1	0.1333	0.0764	0.0570	0.2097	0.0833	0.0289	0.0545	0.1122
2	2	0.1167	0.0577	0.0589	0.1744	0.0667	0.0764	-0.0097	0.1430
2	3	0.1000	0.0000	0.1000	0.1000	0.1167	0.0289	0.0878	0.1455
2	4	0.2000	0.1000	0.1000	0.3000	0.2667	0.0577	0.2089	0.3244
2	5	0.1167	0.0764	0.0403	0.1930	0.0333	0.0289	0.0045	0.0622
2	6	0.0667	0.0577	0.0089	0.1244	0.1500	0.0866	0.0634	0.2366
2	7	0.0667	0.0289	0.0378	0.0955	0.1333	0.0764	0.0570	0.2097
2	8	0.2000	0.0500	0.1500	0.2500	0.1500	0.0866	0.0634	0.2366
3	1	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
3	2	0.1333	0.0289	0.1045	0.1622	0.0000	0.0000	0.0000	0.0000
3	3	0.4333	0.1041	0.3293	0.5374	0.4833	0.0577	0.4256	0.5411
3	4	0.0667	0.0764	-0.0097	0.1430	0.0000	0.0000	0.0000	0.0000
3	5	0.1667	0.0577	0.1089	0.2244	0.1167	0.0764	0.0403	0.1930
3	6	0.0333	0.0289	0.0045	0.0622	0.1167	0.0577	0.0589	0.1744
3	7	0.1500	0.0500	0.1000	0.2000	0.2667	0.0764	0.1903	0.3430
3	8	0.0167	0.0289	-0.0122	0.0455	0.0167	0.0289	-0.0122	0.0455
4	1	0.0833	0.0289	0.0545	0.1122	0.1000	0.0000	0.1000	0.1000
4	2	0.1167	0.0289	0.0878	0.1455	0.1167	0.0289	0.0878	0.1455
4	3	0.0000	0.0000	0.0000	0.0000	0.0333	0.0577	-0.0244	0.0911
4	4	0.4833	0.0577	0.4256	0.5411	0.3500	0.0000	0.3500	0.3500
4	5	0.1500	0.0500	0.1000	0.2000	0.1667	0.0764	0.0903	0.2430
4	6	0.1000	0.0500	0.0500	0.1500	0.0667	0.0289	0.0378	0.0955
4	7	0.0167	0.0289	-0.0122	0.0455	0.1333	0.1443	-0.0110	0.2777
4	8	0.0500	0.0000	0.0500	0.0500	0.0333	0.0577	-0.0244	0.0911
5	1	0.1333	0.0289	0.1045	0.1622	0.1333	0.0764	0.0570	0.2097
5	2	0.1167	0.0289	0.0878	0.1455	0.0667	0.0289	0.0378	0.0955
5	3	0.2167	0.1258	0.0908	0.3425	0.0333	0.0289	0.0045	0.0622
5	4	0.1333	0.0577	0.0756	0.1911	0.2667	0.0577	0.2089	0.3244
5	5	0.1500	0.0500	0.1000	0.2000	0.2500	0.0500	0.2000	0.3000
5	6	0.0833	0.1041	-0.0207	0.1874	0.1167	0.0577	0.0589	0.1744
5	7	0.1000	0.0500	0.0500	0.1500	0.0333	0.0577	-0.0244	0.0911
5	8	0.0667	0.0764	-0.0097	0.1430	0.1000	0.0000	0.1000	0.1000
6	1	0.0000	0.0000	0.0000	0.0000	0.1833	0.0577	0.1256	0.2411
6	2	0.1833	0.0764	0.1070	0.2597	0.3000	0.0500	0.2500	0.3500
6	3	0.0833	0.0577	0.0256	0.1411	0.0833	0.0577	0.0256	0.1411
6	4	0.1667	0.0764	0.0903	0.2430	0.0500	0.0500	0.0000	0.1000
6	5	0.2500	0.0500	0.2000	0.3000	0.1500	0.0866	0.0634	0.2366
6	6	0.1167	0.1155	0.0012	0.2321	0.1333	0.0764	0.0570	0.2097
6	7	0.1500	0.0500	0.1000	0.2000	0.0833	0.0289	0.0545	0.1122
6	8	0.0500	0.0500	0.0000	0.1000	0.0167	0.0289	-0.0122	0.0455
7	1	0.0500	0.0500	0.0000	0.1000	0.0000	0.0000	0.0000	0.0000
