actualClass	estimatedClass	siftMean	siftStd	siftMinus1StdVal	siftPlus1StdVal	intensityMean	intensityStd	intensityMinus1StdVal	intensityPlus1StdVal
1	1	0.3791	0.0084	0.3707	0.3874	0.7410	0.0086	0.7324	0.7496
1	2	0.2913	0.0090	0.2822	0.3003	0.0515	0.0020	0.0495	0.0535
1	3	0.0054	0.0005	0.0049	0.0059	0.0000	0.0000	0.0000	0.0000
1	4	0.0002	0.0001	0.0001	0.0003	0.0000	0.0000	0.0000	0.0000
1	5	0.0054	0.0006	0.0049	0.0060	0.0000	0.0000	0.0000	0.0000
1	6	0.2263	0.0029	0.2235	0.2292	0.1372	0.0095	0.1276	0.1467
1	7	0.0797	0.0046	0.0751	0.0844	0.0703	0.0075	0.0628	0.0778
1	8	0.0002	0.0001	0.0000	0.0003	0.0000	0.0000	0.0000	0.0000
1	9	0.0121	0.0008	0.0114	0.0129	0.0000	0.0000	0.0000	0.0000
1	10	0.0003	0.0002	0.0001	0.0005	0.0000	0.0000	0.0000	0.0000
2	1	0.2931	0.0044	0.2888	0.2975	0.6408	0.0105	0.6303	0.6513
2	2	0.4799	0.0095	0.4704	0.4895	0.1390	0.0027	0.1363	0.1418
2	3	0.0131	0.0007	0.0124	0.0138	0.0000	0.0000	0.0000	0.0000
2	4	0.0001	0.0001	-0.0000	0.0002	0.0000	0.0000	0.0000	0.0000
2	5	0.0042	0.0006	0.0036	0.0048	0.0000	0.0000	0.0000	0.0000
2	6	0.1419	0.0036	0.1383	0.1456	0.1443	0.0054	0.1389	0.1496
2	7	0.0539	0.0021	0.0518	0.0560	0.0759	0.0071	0.0688	0.0830
2	8	0.0000	0.0001	-0.0000	0.0001	0.0000	0.0000	0.0000	0.0000
2	9	0.0134	0.0022	0.0112	0.0156	0.0000	0.0000	0.0000	0.0000
2	10	0.0003	0.0002	0.0001	0.0005	0.0000	0.0000	0.0000	0.0000
3	1	0.1757	0.0041	0.1716	0.1798	0.3267	0.0096	0.3171	0.3363
3	2	0.2355	0.0039	0.2316	0.2394	0.0276	0.0006	0.0269	0.0282
3	3	0.1024	0.0043	0.0981	0.1067	0.0000	0.0000	0.0000	0.0000
3	4	0.0070	0.0006	0.0063	0.0076	0.0000	0.0000	0.0000	0.0000
3	5	0.0181	0.0013	0.0167	0.0194	0.0000	0.0000	0.0000	0.0000
3	6	0.3076	0.0063	0.3013	0.3139	0.5451	0.0096	0.5356	0.5547
3	7	0.1227	0.0028	0.1199	0.1255	0.1006	0.0150	0.0856	0.1156
3	8	0.0052	0.0010	0.0043	0.0062	0.0000	0.0000	0.0000	0.0000
3	9	0.0217	0.0016	0.0202	0.0233	0.0000	0.0000	0.0000	0.0000
3	10	0.0042	0.0010	0.0032	0.0052	0.0000	0.0000	0.0000	0.0000
4	1	0.0229	0.0007	0.0222	0.0237	0.0186	0.0008	0.0178	0.0194
4	2	0.0123	0.0006	0.0117	0.0129	0.0005	0.0003	0.0002	0.0007
4	3	0.0917	0.0055	0.0862	0.0972	0.0000	0.0000	0.0000	0.0000
4	4	0.0736	0.0035	0.0701	0.0772	0.0000	0.0000	0.0000	0.0000
4	5	0.0175	0.0014	0.0161	0.0189	0.0000	0.0000	0.0000	0.0000
4	6	0.5796	0.0057	0.5739	0.5853	0.9428	0.0176	0.9252	0.9605
4	7	0.1552	0.0066	0.1486	0.1619	0.0381	0.0178	0.0203	0.0559
4	8	0.0280	0.0019	0.0260	0.0299	0.0000	0.0000	0.0000	0.0000
4	9	0.0036	0.0004	0.0032	0.0039	0.0000	0.0000	0.0000	0.0000
4	10	0.0155	0.0024	0.0131	0.0180	0.0000	0.0000	0.0000	0.0000
5	1	0.2683	0.0066	0.2617	0.2749	0.5456	0.0143	0.5313	0.5600
5	2	0.1822	0.0045	0.1777	0.1867	0.0674	0.0022	0.0651	0.0696
5	3	0.0208	0.0015	0.0193	0.0223	0.0000	0.0000	0.0000	0.0000
5	4	0.0015	0.0004	0.0010	0.0019	0.0000	0.0000	0.0000	0.0000
5	5	0.0257	0.0021	0.0236	0.0278	0.0000	0.0000	0.0000	0.0000
5	6	0.3472	0.0045	0.3427	0.3516	0.2961	0.0063	0.2898	0.3023
5	7	0.1203	0.0024	0.1180	0.1227	0.0910	0.0138	0.0772	0.1047
5	8	0.0020	0.0007	0.0013	0.0027	0.0000	0.0000	0.0000	0.0000
5	9	0.0306	0.0020	0.0286	0.0325	0.0000	0.0000	0.0000	0.0000
5	10	0.0014	0.0004	0.0010	0.0019	0.0000	0.0000	0.0000	0.0000
6	1	0.2243	0.0070	0.2173	0.2313	0.2448	0.0088	0.2360	0.2536
6	2	0.1520	0.0029	0.1492	0.1549	0.0123	0.0013	0.0110	0.0136
6	3	0.0145	0.0018	0.0127	0.0164	0.0000	0.0000	0.0000	0.0000
6	4	0.0027	0.0004	0.0022	0.0031	0.0000	0.0000	0.0000	0.0000
6	5	0.0090	0.0017	0.0074	0.0107	0.0000	0.0000	0.0000	0.0000
6	6	0.4581	0.0051	0.4530	0.4632	0.6609	0.0101	0.6508	0.6710
6	7	0.1243	0.0037	0.1205	0.1280	0.0820	0.0106	0.0714	0.0926
6	8	0.0027	0.0004	0.0023	0.0032	0.0000	0.0000	0.0000	0.0000
6	9	0.0097	0.0005	0.0092	0.0102	0.0000	0.0000	0.0000	0.0000
6	10	0.0026	0.0012	0.0014	0.0038	0.0000	0.0000	0.0000	0.0000
7	1	0.2546	0.0048	0.2498	0.2594	0.3978	0.0155	0.3823	0.4133
7	2	0.1918	0.0050	0.1868	0.1968	0.0062	0.0002	0.0060	0.0064
7	3	0.0121	0.0013	0.0108	0.0134	0.0000	0.0000	0.0000	0.0000
7	4	0.0024	0.0007	0.0016	0.0031	0.0000	0.0000	0.0000	0.0000
7	5	0.0075	0.0015	0.0060	0.0091	0.0000	0.0000	0.0000	0.0000
7	6	0.3656	0.0047	0.3610	0.3703	0.4790	0.0078	0.4712	0.4868
7	7	0.1505	0.0045	0.1460	0.1550	0.1170	0.0146	0.1024	0.1316
7	8	0.0010	0.0004	0.0007	0.0014	0.0000	0.0000	0.0000	0.0000
7	9	0.0130	0.0007	0.0124	0.0137	0.0000	0.0000	0.0000	0.0000
7	10	0.0014	0.0006	0.0007	0.0020	0.0000	0.0000	0.0000	0.0000
8	1	0.0734	0.0038	0.0696	0.0772	0.2125	0.0095	0.2030	0.2220
8	2	0.0094	0.0007	0.0088	0.0101	0.0097	0.0014	0.0083	0.0110
8	3	0.0374	0.0021	0.0353	0.0395	0.0000	0.0000	0.0000	0.0000
8	4	0.0186	0.0009	0.0176	0.0195	0.0000	0.0000	0.0000	0.0000
8	5	0.0255	0.0030	0.0225	0.0284	0.0000	0.0000	0.0000	0.0000
8	6	0.6233	0.0034	0.6199	0.6267	0.6890	0.0083	0.6807	0.6972
8	7	0.0792	0.0041	0.0750	0.0833	0.0889	0.0097	0.0792	0.0985
8	8	0.1186	0.0035	0.1151	0.1221	0.0000	0.0000	0.0000	0.0000
8	9	0.0030	0.0011	0.0019	0.0042	0.0000	0.0000	0.0000	0.0000
8	10	0.0116	0.0045	0.0071	0.0161	0.0000	0.0000	0.0000	0.0000
9	1	0.2930	0.0025	0.2905	0.2955	0.6174	0.0026	0.6149	0.6200
9	2	0.3550	0.0043	0.3507	0.3593	0.2372	0.0036	0.2337	0.2408
9	3	0.0273	0.0015	0.0259	0.0288	0.0000	0.0000	0.0000	0.0000
9	4	0.0002	0.0001	0.0001	0.0004	0.0000	0.0000	0.0000	0.0000
9	5	0.0182	0.0013	0.0169	0.0195	0.0000	0.0000	0.0000	0.0000
9	6	0.1445	0.0059	0.1386	0.1504	0.1035	0.0026	0.1009	0.1060
9	7	0.0828	0.0029	0.0799	0.0857	0.0419	0.0043	0.0376	0.0462
9	8	0.0010	0.0002	0.0007	0.0012	0.0000	0.0000	0.0000	0.0000
9	9	0.0771	0.0023	0.0748	0.0794	0.0000	0.0000	0.0000	0.0000
9	10	0.0008	0.0003	0.0006	0.0011	0.0000	0.0000	0.0000	0.0000
10	1	0.1455	0.0024	0.1431	0.1479	0.2458	0.0102	0.2357	0.2560
10	2	0.1288	0.0035	0.1253	0.1323	0.0052	0.0006	0.0046	0.0058
10	3	0.0392	0.0020	0.0372	0.0412	0.0000	0.0000	0.0000	0.0000
10	4	0.0073	0.0010	0.0064	0.0083	0.0000	0.0000	0.0000	0.0000
10	5	0.0144	0.0017	0.0127	0.0161	0.0000	0.0000	0.0000	0.0000
10	6	0.4940	0.0038	0.4902	0.4978	0.6469	0.0105	0.6364	0.6574
10	7	0.1486	0.0020	0.1466	0.1506	0.1020	0.0151	0.0869	0.1171
10	8	0.0061	0.0004	0.0058	0.0065	0.0000	0.0000	0.0000	0.0000
10	9	0.0061	0.0007	0.0054	0.0068	0.0000	0.0000	0.0000	0.0000
10	10	0.0100	0.0022	0.0078	0.0122	0.0000	0.0000	0.0000	0.0000
